ticketCompany,status,ticketFormat,title,venue,prefecture,liveDate,liveDateRaw,seatInfo,price,ticketCount,paymentDeadline,ticketingDeadline,sourceUrl,sourceMessageId,receivedAt
LivePocket,payment_pending,digital,Hype The Rock vol.3,渋谷FOWS,東京,2025-03-02,2025年3月2日,一般,,1,(2024年12月29日(日) 23:59)までに、申込み時に選択したコンビニ店,,https://u.livepocket.jp/xjP0d8,<CAByF2H3iTdSpEPQdcDK4EP85K2EQBxvcs-qgcB3s85ZM8LzFOw@mail.gmail.com>,2026-06-15T10:19:16+09:00
LivePocket,ticket_secured,unknown,白フェス2021 -day3-,下北沢MOSAiC,東京,2021-07-25,2021年7月25日,前売り券,,,,,https://u.livepocket.jp/x0Bvo,<CAByF2H1q6XusxP3y8iXcXo5EcHeJ09bEzTTu1gbJZ5f0RcBwmQ@mail.gmail.com>,2026-06-15T10:19:53+09:00
LivePocket,ticket_secured,digital,シン?ロック列島 CIRCUIT 2025,下北沢ライブハウス8会場往来自由,東京,2025-04-06,2025年4月6日,前売りチケット,,1,,,https://u.livepocket.jp/x38vLO,<CAByF2H1Vps6MyEbt7wHmn3bP1fAXHvOxzCgSsCBskA+wMyA0ag@mail.gmail.com>,2026-06-15T10:18:55+09:00
LivePocket,ticket_secured,unknown,『KNOCKOUT FES 2023 autumn』,下北沢ライブハウス12会場,東京,2023-11-04,2023年11月4日,,,1,,,,<CAByF2H3dHue814CizyuU40c1hZLtwzNczANqnCTEPKnpx2Ag5Q@mail.gmail.com>,2026-06-15T10:17:03+09:00
転送,lottery_lost,paper,,,,,,,,1,,,,<CAByF2H1OAnH0rLObBsA88vvm2iY4OqaMi7OBvGU+UudQuYCiuQ@mail.gmail.com>,2026-06-15T10:03:15+09:00
転送,lottery_lost,paper,,,,,,,,1,,,,<CAByF2H3N3-m1SmezW68HNhmT6DDEwNjQOxuqo1ORvz5dt6gs6w@mail.gmail.com>,2026-06-15T10:02:53+09:00
転送,lottery_lost,unknown,,,,,,,,1,,,,<CAByF2H22XXVQt5GT=PcK0gp88ByTSb5qdtFX+sdQPbjxJXjfdw@mail.gmail.com>,2026-06-15T09:59:53+09:00
ぴあ,payment_pending,digital,前髪ぱっつん少年,TOKIO TOKYO(東京都),東京都,2025-12-25,2025年12月25日(木) 18:30開演,"スタンディング(一般) 3,500円 1枚",4325,1,2025年10月18日(土) 23:59,,,<CAByF2H0p+pMnHNTub0m3=yw_1opQ+Y2A7KSdB8JDSXV+KLnuPA@mail.gmail.com>,2026-06-15T09:59:44+09:00
転送,lottery_lost,unknown,,,,,,,,1,,,,<CAByF2H3SvjzUCJ4VaPqUyoWrw-OtZFpqfHULfO=5hTawjJGaTw@mail.gmail.com>,2026-06-15T09:59:14+09:00
ローチケ,payment_pending,paper,前髪ぱっつん少年/他,Spotify O-Crest,東京,2025-08-02,2025/8/2(土),,4875,1,2025/7/1(火) 15:00 ~ 2025/7/3(木) 23:00まで,】,,<CAByF2H1cbpe=u95tL8uTxo-T2YV62Dv48G9+sQ80GSMfw+LipQ@mail.gmail.com>,2026-06-15T09:58:53+09:00
